date,store_id,product_id,units,revenue_czk
2026-06-01,S01,P01,21,1659
2026-06-01,S01,P02,17,1105
2026-06-01,S01,P03,16,1520
2026-06-01,S01,P04,13,1417
2026-06-01,S01,P05,8,920
2026-06-01,S01,P06,9,801
2026-06-01,S01,P07,3,255
2026-06-01,S01,P08,4,476
2026-06-01,S01,P09,3,297
2026-06-01,S01,P10,5,375
2026-06-01,S01,P11,8,440
2026-06-01,S01,P12,5,275
2026-06-01,S01,P13,4,276
2026-06-01,S01,P14,4,300
2026-06-01,S01,P15,3,135
2026-06-01,S01,P16,2,178
2026-06-01,S01,P17,2,258
2026-06-01,S01,P18,1,109
2026-06-02,S01,P01,30,2370
2026-06-02,S01,P02,25,1625
2026-06-02,S01,P03,18,1710
2026-06-02,S01,P04,22,2398
2026-06-02,S01,P05,16,1840
2026-06-02,S01,P06,13,1157
2026-06-02,S01,P07,4,340
2026-06-02,S01,P08,7,833
2026-06-02,S01,P09,4,396
2026-06-02,S01,P10,9,675
2026-06-02,S01,P11,11,605
2026-06-02,S01,P12,7,385
2026-06-02,S01,P13,6,414
2026-06-02,S01,P14,5,375
2026-06-02,S01,P15,3,135
2026-06-02,S01,P16,4,356
2026-06-02,S01,P17,3,387
2026-06-02,S01,P18,1,109
2026-06-03,S01,P01,31,2449
2026-06-03,S01,P02,22,1430
2026-06-03,S01,P03,24,2280
2026-06-03,S01,P04,17,1853
2026-06-03,S01,P05,11,1265
2026-06-03,S01,P06,14,1246
2026-06-03,S01,P07,4,340
2026-06-03,S01,P08,5,595
2026-06-03,S01,P09,6,594
2026-06-03,S01,P10,8,600
2026-06-03,S01,P11,9,495
2026-06-03,S01,P12,7,385
2026-06-03,S01,P13,6,414
2026-06-03,S01,P14,5,375
2026-06-03,S01,P15,3,135
2026-06-03,S01,P16,3,267
2026-06-03,S01,P17,3,387
2026-06-03,S01,P18,1,109
2026-06-04,S01,P01,32,2528
2026-06-04,S01,P02,25,1625
2026-06-04,S01,P03,21,1995
2026-06-04,S01,P04,24,2616
2026-06-04,S01,P05,17,1955
2026-06-04,S01,P06,14,1246
2026-06-04,S01,P07,5,425
2026-06-04,S01,P08,8,952
2026-06-04,S01,P09,5,495
2026-06-04,S01,P10,10,750
2026-06-04,S01,P11,12,660
2026-06-04,S01,P12,10,550
2026-06-04,S01,P13,8,552
2026-06-04,S01,P14,7,525
2026-06-04,S01,P15,4,180
2026-06-04,S01,P16,4,356
2026-06-04,S01,P17,3,387
2026-06-04,S01,P18,1,109
2026-06-05,S01,P01,27,2133
2026-06-05,S01,P02,17,1105
2026-06-05,S01,P03,19,1805
2026-06-05,S01,P04,15,1635
2026-06-05,S01,P05,11,1265
2026-06-05,S01,P06,14,1246
2026-06-05,S01,P07,4,340
2026-06-05,S01,P08,5,595
2026-06-05,S01,P09,5,495
2026-06-05,S01,P10,6,450
2026-06-05,S01,P11,9,495
2026-06-05,S01,P12,7,385
2026-06-05,S01,P13,5,345
2026-06-05,S01,P14,5,375
2026-06-05,S01,P15,3,135
2026-06-05,S01,P16,3,267
2026-06-05,S01,P17,2,258
2026-06-05,S01,P18,1,109
2026-06-06,S01,P01,41,3239
2026-06-06,S01,P02,32,2080
2026-06-06,S01,P03,29,2755
2026-06-06,S01,P04,28,3052
2026-06-06,S01,P05,19,2185
2026-06-06,S01,P06,18,1602
2026-06-06,S01,P07,6,510
2026-06-06,S01,P08,9,1071
2026-06-06,S01,P09,7,693
2026-06-06,S01,P10,11,825
2026-06-06,S01,P11,15,825
2026-06-06,S01,P12,10,550
2026-06-06,S01,P13,10,690
2026-06-06,S01,P14,8,600
2026-06-06,S01,P15,5,225
2026-06-06,S01,P16,5,445
2026-06-06,S01,P17,4,516
2026-06-06,S01,P18,2,218
2026-06-07,S01,P01,30,2370
2026-06-07,S01,P02,24,1560
2026-06-07,S01,P03,21,1995
2026-06-07,S01,P04,24,2616
2026-06-07,S01,P05,15,1725
2026-06-07,S01,P06,14,1246
2026-06-07,S01,P07,5,425
2026-06-07,S01,P08,6,714
2026-06-07,S01,P09,5,495
2026-06-07,S01,P10,8,600
2026-06-07,S01,P11,10,550
2026-06-07,S01,P12,8,440
2026-06-07,S01,P13,6,414
2026-06-07,S01,P14,5,375
2026-06-07,S01,P15,3,135
2026-06-07,S01,P16,4,356
2026-06-07,S01,P17,3,387
2026-06-07,S01,P18,1,109
2026-06-08,S01,P01,23,1817
2026-06-08,S01,P02,22,1430
2026-06-08,S01,P03,16,1520
2026-06-08,S01,P04,22,2398
2026-06-08,S01,P05,15,1725
2026-06-08,S01,P06,12,1068
2026-06-08,S01,P07,4,340
2026-06-08,S01,P08,7,833
2026-06-08,S01,P09,4,396
2026-06-08,S01,P10,9,675
2026-06-08,S01,P11,9,495
2026-06-08,S01,P12,8,440
2026-06-08,S01,P13,7,483
2026-06-08,S01,P14,5,375
2026-06-08,S01,P15,3,135
2026-06-08,S01,P16,3,267
2026-06-08,S01,P17,3,387
2026-06-08,S01,P18,1,109
2026-06-09,S01,P01,28,2212
2026-06-09,S01,P02,22,1430
2026-06-09,S01,P03,22,2090
2026-06-09,S01,P04,24,2616
2026-06-09,S01,P05,15,1725
2026-06-09,S01,P06,14,1246
2026-06-09,S01,P07,4,340
2026-06-09,S01,P08,6,714
2026-06-09,S01,P09,5,495
2026-06-09,S01,P10,9,675
2026-06-09,S01,P11,12,660
2026-06-09,S01,P12,7,385
2026-06-09,S01,P13,7,483
2026-06-09,S01,P14,6,450
2026-06-09,S01,P15,3,135
2026-06-09,S01,P16,4,356
2026-06-09,S01,P17,3,387
2026-06-09,S01,P18,1,109
2026-06-10,S01,P01,31,2449
2026-06-10,S01,P02,17,1105
2026-06-10,S01,P03,23,2185
2026-06-10,S01,P04,13,1417
2026-06-10,S01,P05,9,1035
2026-06-10,S01,P06,15,1335
2026-06-10,S01,P07,4,340
2026-06-10,S01,P08,4,476
2026-06-10,S01,P09,6,594
2026-06-10,S01,P10,5,375
2026-06-10,S01,P11,9,495
2026-06-10,S01,P12,6,330
2026-06-10,S01,P13,6,414
2026-06-10,S01,P14,5,375
2026-06-10,S01,P15,3,135
2026-06-10,S01,P16,3,267
2026-06-10,S01,P17,2,258
2026-06-10,S01,P18,1,109
2026-06-11,S01,P01,27,2133
2026-06-11,S01,P02,17,1105
2026-06-11,S01,P03,18,1710
2026-06-11,S01,P04,13,1417
2026-06-11,S01,P05,8,920
2026-06-11,S01,P06,12,1068
2026-06-11,S01,P07,3,255
2026-06-11,S01,P08,3,357
2026-06-11,S01,P09,5,495
2026-06-11,S01,P10,5,375
2026-06-11,S01,P11,8,440
2026-06-11,S01,P12,5,275
2026-06-11,S01,P13,5,345
2026-06-11,S01,P14,4,300
2026-06-11,S01,P15,2,90
2026-06-11,S01,P16,3,267
2026-06-11,S01,P17,2,258
2026-06-11,S01,P18,1,109
2026-06-12,S01,P01,35,2765
2026-06-12,S01,P02,21,1365
2026-06-12,S01,P03,23,2185
2026-06-12,S01,P04,16,1744
2026-06-12,S01,P05,12,1380
